run_id,sample_id,prompt_id,stage,signature,d,compliant,normalization_version,timestamp
anchor_fib_v1_b5b6b7c5,sample_b2908acd,anchor_fib_v1,post,8f572c1713ed52036875ab1618973446a796fc080f47b1887d4f4d9358ef71a7,0.0,True,2025-09-26,2025-09-26T15:28:22.590117
anchor_fib_v1_b5b6b7c5,sample_b2908acd,anchor_fib_v1,post,907e508475d3e737abbd0be64fc5b830228577d612a12cd8427c59093dc406c7,0.03684210526315789,True,2025-09-26,2025-09-26T15:34:29.405301
anchor_fib_v1_b5b6b7c5,sample_b2908acd,anchor_fib_v1,post,ad8c6849b8509328001984823627c0ba813b2df9fd1600f826cd555d6103fea3,0.015544041450777202,True,2025-09-26,2025-09-26T15:34:37.490742
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,7edab8c7de55fc5ec474122fd466d22e250843f9966c7ffe7aa9380c9ec31bb3,0.75,True,2025-09-26,2025-09-26T15:35:13.323514
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:15.658403
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:20.122852
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:23.880458
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:26.067773
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:28.659337
slugify_v1_a40278a6,sample_4fed6671,slugify_v1,post,5a4e9bfdf2e687202e5a736bde20f33023a168b3439f2f6c489a15ed8e97d430,0.7563451776649747,True,2025-09-26,2025-09-26T15:35:31.232949
